問,語群,解答,解説
1,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,カ,
2,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ク,
3,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ウ,
4,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ア,
5,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,コ,
6,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ア,
7,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,キ,
8,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ウ,
9,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,コ,
10,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,カ,
11,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ウ,
12,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ア,
13,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,キ,
14,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,カ,
15,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,コ,
16,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ウ,
17,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,キ,
18,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ケ,
19,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ク,
20,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,イ,
21,ア、イ、ウ,ウ,
22,ア、イ、ウ,ア,
23,ア、イ、ウ,ウ,
24,ア、イ、ウ,イ,
25,ア、イ、ウ,ウ,
26,ア、イ、ウ,ア,
27,ア、イ、ウ,イ,
28,ア、イ、ウ,ウ,
29,ア、イ、ウ,イ,
30,ア、イ、ウ,ウ,
31,正、誤,正,
32,正、誤,正,
33,正、誤,誤,
34,正、誤,正,
35,正、誤,誤,
36,正、誤,正,
37,正、誤,正,
38,正、誤,正,
39,正、誤,誤,
40,正、誤,誤,
41,ア、イ 、ウ、エ、オ,オ,
42,ア、イ 、ウ、エ、オ,イ,
43,ア、イ 、ウ、エ、オ,エ,
44,ア、イ 、ウ、エ、オ,ウ,
45,ア、イ 、ウ、エ、オ,イ,
46,ア、イ 、ウ、エ、オ,ア,
47,ア、イ 、ウ、エ、オ,オ,
48,ア、イ 、ウ、エ、オ,エ,
49,ア、イ 、ウ、エ、オ,ア,
50,ア、イ 、ウ、エ、オ,ア,
