問,語群,解答,解説,点数
1,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,カ,"元金を P 円とする。月利率 0.18 %、1カ月複利で運用したとき、1カ月後の元利合計額は
$(1+0.0018)P=1.0018P$
となる。これは、一か月間 P 円を預けたことによって$0.0018P$だけ価値が上がったと考えられる。これが一ヶ月後の利息である。
今回は半年後（6ヶ月後）にどれだけ元金の価値が上がっているかを考えれば良い。
複利計算は乗算で求められる訳なので、半年後の元利合計額は
$(1 + 0.0018)^6P$
である。つまり半年後に
$(1 + 0.0018)^6P - P$
だけ価値が上がっている。したがって P=50 万円を代入して
$(1.0018^6 - 1)\times 50 = 5425$円が答えである。",1
2,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ク,"年利率が設定されていて、これを半年複利で運用するということは、つまり転化回数2回で運用するのと同じである。仮に年利率を1.5%、半年複利で運用する場合は、1回の支払いあたり0.75%の利率での運用となる。その場合、元金をP円とすると1年後の元利合計額は
$(1 + 0.0075)^2P$
円である。
3年後までに支払いは6回行われているため、元利合計額は
$1.0075^6P = 1.0075^6\times 500000 = 522926$
円である。",1
3,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ウ,"（2）と同じ考え方で解ける。1回の支払いでは利率1.5/4%の運用であり、1年後の元利合計額は
$(1+0.015/4)^4$
利率、実利率は運用結果としてどのくらいの割合だけ増えたかを表すものなので、
$(1+0.015/4)^4 - 1 = 1.51$",1
4,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ア,"ある年利率の複利で数年間運用したときに運用し始めたときからどれくらい利息が増えたかを表す、変化の割合のことを平均利回りという。
例えば元金を1として、年利率1.2%の複利で5年間運用した場合の元利合計額は
$(1+0.012)^5$
である。5年間における元利合計額の変化量は
$(1+0.012)^5 -1$
なので、変化の割合は
$\frac{(1+0.012)^5 -1}{5} = 0.0123$
すなわち1.23%である。",1
5,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,コ,"毎年始7年間、あなたはいくらか支払って280万円に到達したいとする。数年間運用しているとその分だけ利息がつくことを考えると、毎年40万円よりも少ない額で280万円に到達することが分かる。ではどのくらい少なくなるのだろうか？
例えば年利率1.1%で考える。1年目はそのまま40万円を支払えばよい。
$400000$
2年目に支払う額は、実際には1年間運用してきたわけだから最初に
$\frac{400000}{1 + 0.011}$
だけ支払っておけばよい。
少し飛んで7年目に支払うのは
$\frac{400000}{(1 + 0.011)^6}$
である。
これらの合計額が、7年後に280万円に到達するために必要な資産、すなわち現代価値である。
$40 \times (1 + \frac{1}{1+0.011} + \frac{1}{(1+0.011)^2} + \frac{1}{(1+0.011)^3} + \frac{1}{(1+0.011)^4} + \frac{1}{(1+0.011)^5} + \frac{1}{(1+0.011)^6}) = 2710245$
が正解である。",1
6,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ア,"1ページ目の生命表を見る。48歳に生存している女子のうち、55歳まで生存している人の割合を見ればよい。
$\frac{96441}{97880}=0.98530$",1
7,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,キ,"65歳の女子が3年後に生存している確率とはすなわち、65歳の女子が68歳まで生存している確率である。さらにここでいう確率とは割合のことを指す訳だから、解き方は先ほどとほとんど一緒である。人数を求めたい場合は、今求めた確率に65歳の人数10万人を掛ければよい。
$100000 \times \frac{91616}{93054} = 98455$
人である。",1
8,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,ウ,"109歳の女子の生存数は40.772人である。この人たちは何歳で亡くなるかという視点で細かく分割できる。例えば109歳で亡くなる人は25.888人、110歳で亡くなる人は10.1008人、111歳で亡くなる人は3.4515人、･･･と言った具合である。そのため109歳から113歳までの死亡者数の合計は、109歳の生存数に等しい。

では109歳の年始に生存していた人で、109歳のうちに亡くなる人は何年生きたことになるか？これは実際に一人一人調べないと分からない。ある人は6月かもしれないし、またある人は10月かもしれない。実際にデータを見ないと何年生きたかを性格に測ることはできない。しかしその必要はない。1年間を通して同じ割合で亡くなると仮定する。より数学的な表現をすると、1年間のうち、ある人が亡くなるのにかかる時間を確率変数としたとき、この確率変数は0から1までの一様分布に従っていると仮定する。この分布の平均値及び期待値は0.5である。そのため、109歳のうちに亡くなる人は全員0.5年生きたと仮定する。

すると、110歳に亡くなった人は全員1.5年生きたと仮定することができる。この0.5年、1.5年、･･･という値を平均生存時間と呼んでいる。各年齢における死亡数と、平均生存時間を掛けたものの和をとり、最後に109歳の生存数で割ると平均余命は求まる。
$\frac{0.5 \times 25.888 + 1.5 \times 10.1008 + 2.5 \times 3.4515 + 3.5 \times 1.0162 + 4.5 \times 0.3155}{40.772} = 1.02$

また以下のようにして解いても良い。
109歳の生存数は40.772人である。このうち、110歳まで生存しているのは14.884人、さらに111歳まで生存しているのは4.7833人、そして112歳まで生存しているのは1.3318人、最後に113歳まで生存しているのは0.3155人である。110歳から113歳までの生存数の和をとる。ここまでの足し算では、109歳から数年生きた人はその年数分だけカウントされる。例えば111歳まで生存している人のうち1人をAさんとすると、Aさんはこの2年間生存していたので2回分カウントされているはずである。つまり、110歳から113歳までの生存数の和は、109歳から生きた年数の累積を計算していることになる。これを109歳の生存数で割ると、109歳まで生存した人が平均どれだけ生きたかを計算することができる。そして今回は平均生存時間を0.5年と仮定したので、平均年数に0.5年だけ加えてやればよい。
$\frac{14.884 + 4.7833 + 1.3318 + 0.3155}{40.772} + 0.5 = 1.02$
このようにして、同じ答えを導出することができる。ちなみに今回は省くが、これら2つの方法で同じ結果になることは数学的に証明することもできる。後者の利点は0.5という計算を極力減らせることにある。実際の試験では電卓を用いるが、0.5, 1.5, ...のように.5を何度も入力するのは電卓の打ち間違いにつながる。このように工夫することでつまらないミスを減らすのも非常に重要なことである。",1
9,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,コ,"問題8では、1年間のうち一様に人が亡くなることを仮定した。これはつまり、年始に加入してからその半年後（期央）に全員が亡くなることを仮定しているのと同じである。そのため死亡保険金を期央に支払うと考える。生命表を見ると、保険金500万円の保険に50歳で加入した女子のうち、1年以内に亡くなる人は192人であることが分かる。したがって加入から半年後に支払われる保険金総額は
$5,000,000 \times 192 = 960,000,000$
円である。つまり、年始の時点ではこれに期央現価率を掛けた分だけ準備しておけばよい。それが死亡保険金総額の現価である。
$960.000.000 \times 0.995037 = 955,236$
千円が正解である。",1
10,ア、イ、ウ、エ、オ、カ、キ、ク、ケ、コ,カ,"純保険料を P 円とする。50歳の年始で加入した女子全員が純保険料を払い、半年間の運用によって利息がついた元利合計額が問題8の途中で求めた死亡保険金総額に等しくなるようにする。これを収支相当の原理という。したがって以下のような1次方程式が立てられる。
$97539P = 955235520$
これを P について解けば
$P = \frac{955235520}{97539} = 9790$
のように純保険料が求まる。",1
